uniprotswissprot,ensembl_gene_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
P38809,YHR097C,33.9889908196076,25.3501087588508,26.4691803137888,34.9330464454333,31.5766357224542,29.781274611514,32.0365896723903,30.3990760457449,28.450034505351,27.1473750119417,24.2074609603593,29.1453971234814,24.8928043852854,25.7277031564014,35.83046499241,22.44573123461,23.0868121788624,73.6484635875547,25.6631770251121,21.8647128519316,24.7443101266912,23.171876395972,19.1473406959359,22.3921458730947,18.2639297671012,24.2738108709356,29.7929139958277,16.5575981433275,17.337850648102,22.7922525370457
P38810,YHR098C,72.917655993183,68.3811897655062,65.5366343358915,63.1979838491196,69.5883475553955,71.4967965154016,87.1675708235417,83.4622974022917,89.2832530820922,75.2563585981839,84.0082600415,93.3361576519261,82.4400055111276,81.1166408287284,79.4637610025734,91.4352924331186,85.0787822906398,85.9433185975678,74.5292254402063,72.3295414051676,72.8309680731264,75.7630253686528,79.4545230776663,71.0092693338916,81.0198662891491,79.0717343850005,91.061925392817,75.2148743640926,82.5354676993422,74.7188310289649
P38811,YHR099W,NA,1.03171669389264,1.12157624298939,0.945752392558901,NA,NA,1.52599619905456,NA,NA,0.741468796485083,1.51900373353776,0.637458837933506,NA,1.64361247945954,0.412244060765822,0.656803330761401,NA,NA,NA,NA,0.477541551168356,NA,16.5283902902576,0.517627512739317,NA,0.481241994499608,NA,NA,NA,14.4902411704189
P38812,YHR100C,10.9824258611973,17.8873562100835,14.7210475493415,11.5777764480186,12.5894602187629,12.180557591567,10.5263665561879,11.1241709058775,11.9800981087128,12.7731686665119,11.1446683428905,12.2968150111847,10.0634836148951,11.4458613618857,10.020964728812,11.6261867096651,8.46243501757883,8.94779546533262,9.09592994717237,37.4509332233524,11.2374105454721,7.17776654533643,9.06992627449074,10.6015573227835,15.0919224674245,8.42134810270471,NA,12.4344309019686,10.3311305592469,12.8151682817943
P38816,YHR106W,8.46310277687672,NA,11.434892980742,13.654148587073,NA,NA,7.75470865535085,7.66242963341634,NA,NA,7.7804027490812,8.11436182848036,8.55680518135315,NA,8.71404435985988,7.78262522489139,8.10449390103991,8.90772190602218,8.74143843311541,8.89684523324114,8.69004631858823,8.9621885084766,9.84608366715256,8.5369976770266,9.2520510252729,8.32754863185618,NA,8.8664979307358,9.38580133196301,7.28053717088787
P38817,YHR108W,161.554856251607,157.170382478914,184.208534359034,179.281842321972,175.65178161037,163.849888856665,213.431513332258,192.122569990174,195.580690727234,187.841359236283,185.609244244286,211.057185445091,184.676779116978,189.99579983362,197.843040991544,198.390900419932,210.27052073751,183.972501568972,188.508077484113,191.971856499311,183.657265079404,203.485150563121,209.318792969441,220.974871988696,215.396909120811,196.619685099547,192.154898377692,210.627484201773,209.601500152642,204.268277985499
P38818,YHR109W,0.198902885958348,0.326246169817765,0.313216007754251,0.248671744051826,NA,0.285134968266503,0.212018409918611,0.252047328260114,0.575323767952793,0.643398797938568,0.119316231814838,0.211428133342051,NA,0.280065139402788,0.206240510854985,NA,NA,0.485763896100264,0.859384619383162,NA,NA,0.462778055152566,NA,0.434497090898812,0.184930744726642,0.323149445041848,0.264633200496484,0.223690979257743,0.163871163885037,0.411216849667213
P38819,YHR110W,NA,NA,7.87522288473607,9.36137376624265,9.78524542921078,6.97775254770966,8.71941978666902,9.45710024050006,11.6440166767928,9.34153395281087,11.3349202815154,11.0240726127228,7.2538174708703,NA,10.9176781911226,8.39630339369389,9.68978806927182,10.2606925091011,11.5642940179004,8.88522496953753,11.2008501113002,10.2270926717428,9.70773574925196,9.7099904781535,10.2462410335027,11.1638804829938,13.2922790320641,10.4274878698498,10.4478979849735,9.6589700683463
P38820,YHR111W,57.2970868572546,154.833867973851,137.157819195602,194.284308060905,112.380917399587,164.208551721548,126.741750994699,114.01276955572,113.876488881476,143.131819151847,208.909686632697,123.6226628187,86.7198930638949,124.118108137153,131.44488045215,130.26279049692,107.362965437412,106.02853179276,112.296782835897,126.7665934351,105.512828080086,119.099441445353,85.3810908598964,104.876594352969,123.173367429896,103.587105351789,NA,121.402047981369,137.424151759079,126.907888288645
P38821,YHR113W,174.554374365969,168.130221482269,161.489826148693,174.878633292598,180.831486732021,179.562503755192,207.205059811,216.43509814861,182.829295602817,195.375405078883,185.130461939944,188.054939283432,202.227370158144,193.869308736852,191.569167184881,197.785040659166,224.17532182052,205.783401615771,257.992976449295,191.000167781697,199.625278992446,209.942072823047,189.149358307683,223.786845671524,180.879385538979,194.023080529376,387.936209466906,192.113533612861,221.081428106218,218.096257437797
